name,icao,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
LaGuardia Airport,KLGA,-1,172,172,8,8
LaGuardia Airport,KLGA,0,364,364,16,16
Orlando International,KMCO,-3,272,272,5,5
Orlando International,KMCO,-2,310,310,7,7
Orlando International,KMCO,-1,284,284,2,2
Orlando International,KMCO,0,406,406,12,12
Chicago Midway,KMDW,-3,87,87,2,2
Chicago Midway,KMDW,-2,110,110,2,2
Chicago Midway,KMDW,-1,132,132,0,0
Chicago Midway,KMDW,0,140,140,2,2
Memphis International,KMEM,-3,44,44,2,2
Memphis International,KMEM,-2,54,54,6,6
Memphis International,KMEM,-1,25,25,0,0
Memphis International,KMEM,0,73,73,6,6
Miami International,KMIA,-3,241,241,1,1
Miami International,KMIA,-2,256,256,4,4
Miami International,KMIA,-1,255,255,7,7
Miami International,KMIA,0,237,237,11,11
Minneapolis/St. Paul International,KMSP,-3,253,253,1,1
Minneapolis/St. Paul International,KMSP,-2,394,394,10,10
Minneapolis/St. Paul International,KMSP,-1,177,177,5,5
Minneapolis/St. Paul International,KMSP,0,199,199,14,14
Oakland International,KOAK,-3,27,27,1,1
Oakland International,KOAK,-2,35,35,0,0
Oakland International,KOAK,-1,23,23,0,0
Oakland International,KOAK,0,26,26,0,0
Ontario International,KONT,-3,37,37,0,0
Ontario International,KONT,-2,30,30,0,0
Ontario International,KONT,-1,12,12,0,0
Ontario International,KONT,0,30,30,0,0
Chicago O'Hare International,KORD,-3,855,855,10,10
Chicago O'Hare International,KORD,-2,800,800,16,16
Chicago O'Hare International,KORD,-1,733,733,18,18
Chicago O'Hare International,KORD,0,1443,1443,331,331
Portland International,KPDX,-3,135,135,1,1
Portland International,KPDX,-2,125,125,3,3
Portland International,KPDX,-1,56,56,3,3
Portland International,KPDX,0,61,61,0,0
Philadelphia International,KPHL,-3,160,160,0,0
Philadelphia International,KPHL,-2,250,250,11,11
Philadelphia International,KPHL,-1,228,228,0,0
Philadelphia International,KPHL,0,238,238,9,9
Phoenix Sky Harbor International,KPHX,-3,286,286,3,3
Phoenix Sky Harbor International,KPHX,-2,280,280,7,7
Phoenix Sky Harbor International,KPHX,-1,129,129,4,4
Phoenix Sky Harbor International,KPHX,0,282,282,2,2
San Diego International,KSAN,-3,138,138,2,2
San Diego International,KSAN,-2,138,138,10,10
San Diego International,KSAN,-1,74,74,6,6
San Diego International,KSAN,0,118,118,7,7
Louisville International,KSDF,-3,51,51,0,0
Louisville International,KSDF,-2,56,56,3,3
Louisville International,KSDF,-1,29,29,2,2
Louisville International,KSDF,0,63,63,11,11
Seattle-Tacoma International,KSEA,-3,389,389,10,10
Seattle-Tacoma International,KSEA,-2,425,425,14,14
Seattle-Tacoma International,KSEA,-1,174,174,9,9
Seattle-Tacoma International,KSEA,0,177,177,10,10
San Francisco International,KSFO,-3,146,146,0,0
San Francisco International,KSFO,-2,174,174,6,6
San Francisco International,KSFO,-1,134,134,4,4
San Francisco International,KSFO,0,176,176,5,5
Salt Lake City International,KSLC,-3,106,106,0,0
Salt Lake City International,KSLC,-2,162,162,1,1
Salt Lake City International,KSLC,-1,59,59,2,2
Salt Lake City International,KSLC,0,101,101,0,0
Teterboro,KTEB,-3,0,0,0,0
Teterboro,KTEB,-2,0,0,0,0
Teterboro,KTEB,-1,0,0,0,0
Teterboro,KTEB,0,0,0,0,0
Tampa International,KTPA,-3,123,123,2,2
Tampa International,KTPA,-2,160,160,2,2
Tampa International,KTPA,-1,93,93,3,3
Tampa International,KTPA,0,178,178,5,5
