name,icao,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
Honolulu International,PHNL,-2,151,151,2,2
Honolulu International,PHNL,-1,93,93,4,4
Honolulu International,PHNL,0,36,36,2,2
Houston Hobby,KHOU,-3,50,50,0,0
Houston Hobby,KHOU,-2,12,12,0,0
Houston Hobby,KHOU,-1,10,10,0,0
Houston Hobby,KHOU,0,9,9,0,0
Washington Dulles International,KIAD,-3,139,139,5,5
Washington Dulles International,KIAD,-2,68,68,3,3
Washington Dulles International,KIAD,-1,77,77,6,6
Washington Dulles International,KIAD,0,77,77,4,4
George Bush Houston Intercontinental,KIAH,-3,151,151,3,3
George Bush Houston Intercontinental,KIAH,-2,92,92,1,1
George Bush Houston Intercontinental,KIAH,-1,94,94,5,5
George Bush Houston Intercontinental,KIAH,0,64,64,3,3
Indianapolis International,KIND,-3,77,77,2,2
Indianapolis International,KIND,-2,54,54,0,0
Indianapolis International,KIND,-1,20,20,0,0
Indianapolis International,KIND,0,19,19,0,0
John F. Kennedy International,KJFK,-3,384,384,8,8
John F. Kennedy International,KJFK,-2,168,168,7,7
John F. Kennedy International,KJFK,-1,134,134,5,5
John F. Kennedy International,KJFK,0,110,110,2,2
Las Vegas Reid International,KLAS,-3,166,166,4,4
Las Vegas Reid International,KLAS,-2,67,67,1,1
Las Vegas Reid International,KLAS,-1,70,70,0,0
Las Vegas Reid International,KLAS,0,62,62,0,0
Los Angeles International,KLAX,-3,240,240,10,10
Los Angeles International,KLAX,-2,139,139,7,7
Los Angeles International,KLAX,-1,151,151,4,4
Los Angeles International,KLAX,0,98,98,3,3
LaGuardia Airport,KLGA,-3,394,394,15,15
LaGuardia Airport,KLGA,-2,149,149,3,3
LaGuardia Airport,KLGA,-1,104,104,10,10
LaGuardia Airport,KLGA,0,72,72,0,0
Orlando International,KMCO,-3,290,290,7,7
Orlando International,KMCO,-2,103,103,4,4
Orlando International,KMCO,-1,123,123,1,1
Orlando International,KMCO,0,125,125,2,2
Chicago Midway,KMDW,-3,98,98,1,1
Chicago Midway,KMDW,-2,30,30,0,0
Chicago Midway,KMDW,-1,33,33,0,0
Chicago Midway,KMDW,0,22,22,0,0
Memphis International,KMEM,-3,45,45,0,0
Memphis International,KMEM,-2,15,15,0,0
Memphis International,KMEM,-1,13,13,0,0
Memphis International,KMEM,0,16,16,0,0
Miami International,KMIA,-3,324,324,6,6
Miami International,KMIA,-2,171,171,3,3
Miami International,KMIA,-1,165,165,2,2
Miami International,KMIA,0,184,184,5,5
Minneapolis/St. Paul International,KMSP,-3,333,333,6,6
Minneapolis/St. Paul International,KMSP,-2,138,138,5,5
Minneapolis/St. Paul International,KMSP,-1,230,230,8,8
Minneapolis/St. Paul International,KMSP,0,196,196,4,4
Oakland International,KOAK,-3,26,26,0,0
Oakland International,KOAK,-2,11,11,0,0
Oakland International,KOAK,-1,8,8,0,0
Oakland International,KOAK,0,6,6,0,0
Ontario International,KONT,-3,19,19,0,0
Ontario International,KONT,-2,18,18,3,3
Ontario International,KONT,-1,8,8,0,0
Ontario International,KONT,0,7,7,0,0
Chicago O'Hare International,KORD,-3,913,913,24,24
Chicago O'Hare International,KORD,-2,704,704,12,12
Chicago O'Hare International,KORD,-1,533,533,11,11
Chicago O'Hare International,KORD,0,344,344,13,13
Portland International,KPDX,-3,73,73,2,2
Portland International,KPDX,-2,42,42,2,2
Portland International,KPDX,-1,41,41,1,1
Portland International,KPDX,0,33,33,1,1
Philadelphia International,KPHL,-3,198,198,2,2
Philadelphia International,KPHL,-2,61,61,1,1
Philadelphia International,KPHL,-1,55,55,1,1
Philadelphia International,KPHL,0,60,60,0,0
Phoenix Sky Harbor International,KPHX,-3,174,174,6,6
Phoenix Sky Harbor International,KPHX,-2,110,110,4,4
Phoenix Sky Harbor International,KPHX,-1,98,98,0,0
Phoenix Sky Harbor International,KPHX,0,76,76,2,2
San Diego International,KSAN,-3,128,128,5,5
San Diego International,KSAN,-2,70,70,2,2
San Diego International,KSAN,-1,51,51,0,0
San Diego International,KSAN,0,50,50,3,3
Louisville International,KSDF,-3,31,31,0,0
Louisville International,KSDF,-2,23,23,0,0
Louisville International,KSDF,-1,12,12,0,0
Louisville International,KSDF,0,8,8,0,0
Seattle-Tacoma International,KSEA,-3,225,225,28,28
Seattle-Tacoma International,KSEA,-2,140,140,10,10
Seattle-Tacoma International,KSEA,-1,132,132,11,11
Seattle-Tacoma International,KSEA,0,93,93,5,5
San Francisco International,KSFO,-3,147,147,15,15
San Francisco International,KSFO,-2,84,84,2,2
San Francisco International,KSFO,-1,79,79,3,3
San Francisco International,KSFO,0,77,77,6,6
Salt Lake City International,KSLC,-3,121,121,2,2
Salt Lake City International,KSLC,-2,75,75,6,6
Salt Lake City International,KSLC,-1,83,83,2,2
Salt Lake City International,KSLC,0,38,38,1,1
Teterboro,KTEB,-3,0,0,0,0
Teterboro,KTEB,-2,0,0,0,0
Teterboro,KTEB,-1,0,0,0,0
Teterboro,KTEB,0,0,0,0,0
Tampa International,KTPA,-3,128,128,0,0
Tampa International,KTPA,-2,57,57,0,0
Tampa International,KTPA,-1,40,40,0,0
Tampa International,KTPA,0,48,48,1,1
